Time,x (km),y (km),z (km),Dx (km/s),Dy (km/s),Dz (km/s),Distance (km),Vel. (km/s)
2022-034/00:00.000000,-102527901.754486,98994305.36959918,42523492.99123147,-22.1477058165247,-19.03013262240365,-8.142468452615644,148728244.08955514,30.31446211073907
2022-035/00:00.000000,-104425712.4043343,97334627.0126768,41813518.28806756,-21.78204601598165,-19.38736205653897,-8.291734178555462,148751905.32721326,30.316335395979078
2022-036/00:00.000000,-106291648.9963703,95644350.01236656,41090754.42061428,-21.40989722870343,-19.73842049477918,-8.438507931085518,148775691.67881864,30.318267745294335
2022-037/00:00.000000,-108125155.3485556,93924011.2391766,40355418.15318263,-21.031364145621,-20.08322306260852,-8.58275649273705,148799626.61486915,30.320254540848158
2022-038/00:00.000000,-109925684.8012506,92174155.07472736,39607729.50393333,-20.64656204925495,-20.42167902058695,-8.724435211293327,148823732.24462736,30.322289956889318
2022-039/00:00.000000,-111692700.3242925,90395333.68558083,38847912.65888354,-20.25560215708218,-20.75370328705931,-8.863505073958057,148848029.8015797,30.324368766214555
2022-040/00:00.000000,-113425675.3436557,88588106.19584271,38076193.80743022,-19.85860078364431,-21.07921349789768,-8.999930624155276,148872539.1782893,30.326490367560144
2022-041/00:00.000000,-115124092.6497197,86753038.99808818,37292803.33946219,-19.45567497730255,-21.39812854315753,-9.133675243781353,148897278.90307754,30.328653406156924
2022-042/00:00.000000,-116787445.6810679,84890705.38324718,36497974.54625029,-19.04694816013036,-21.71036835682986,-9.264701086711328,148922266.5525622,30.33085911460542
2022-043/00:00.000000,-118415238.6091302,83001685.4667086,35691943.756207,-18.63254519836626,-22.01585479338794,-9.392975818614982,148947518.85905287,30.33311058203214
2022-044/00:00.000000,-120006986.6172644,81086566.26748921,34874950.16512294,-18.21259626382042,-22.31450586378563,-9.518465102248427,148973051.9759463,30.33540856023815
2022-045/00:00.000000,-121562216.2110871,79145941.95327918,34047235.76616738,-17.78723418695191,-22.60623737055272,-9.641136412253603,148998881.87882456,30.337751719514866
2022-046/00:00.000000,-123080465.9710664,77180413.93296349,33209045.65523818,-17.35659226451138,-22.89096200344032,-9.760956616221012,149025025.1194413,30.340133660601985
2022-047/00:00.000000,-124561284.3955179,75190591.77503459,32360627.16288222,-16.92079920940997,-23.16859400284154,-9.877897708311295,149051497.31591448,30.342545329776403
