Time                         x (km)            y (km)            z (km)    Dx (km/s)    Dy (km/s)    Dz (km/s)     Distance (km)  Vel. (km/s)
2019-311/00:00:00     107672836.102      95871289.370      41080471.932      -21.231       19.604        8.456     149907801.444       30.109
2019-312/00:00:00     105822574.064      97550406.789      41804934.975      -21.598       19.263        8.313     149873785.682       30.111
2019-313/00:00:00     103940420.819      99200107.728      42517083.840      -21.963       18.918        8.169     149839830.725       30.117
2019-314/00:00:00     102027158.072     100819659.180      43216602.563      -22.325       18.571        8.024     149805939.130       30.128
2019-315/00:00:00     100083084.411     102408783.625      43903374.191      -22.673       18.212        7.873     149772123.621       30.128
2019-316/00:00:00      98108971.541     103966798.290      44577104.543      -23.022       17.852        7.722     149738384.167       30.139
2019-317/00:00:00      96105326.530     105493273.872      45237609.828      -23.361       17.485        7.568     149704729.260       30.145
2019-318/00:00:00      94072594.851     106987842.470      45884730.960      -23.690       17.109        7.410     149671173.155       30.147
2019-319/00:00:00      92011565.313     108449871.020      46518195.374      -24.020       16.735        7.253     149637713.083       30.160
2019-320/00:00:00      89922701.667     109879013.828      47137852.822      -24.332       16.346        7.090     149604368.665       30.158
2019-321/00:00:00      87806585.556     111274836.549      47743514.169      -24.649       15.962        6.929     149571149.829       30.172
2019-322/00:00:00      85663953.344     112636810.255      48334950.844      -24.949       15.565        6.762     149538060.038       30.174
2019-323/00:00:00      83495229.039     113964652.449      48912037.990      -25.246       15.167        6.594     149505126.134       30.181
2019-324/00:00:00      81301346.067     115257721.302      49474498.468      -25.537       14.765        6.425     149472329.181       30.190
2019-325/00:00:00      79082581.818     116515871.185      50022265.654      -25.821       14.358        6.254     149439720.443       30.200
2019-326/00:00:00      76839776.158     117738558.983      50555103.734      -26.095       13.945        6.080     149407288.929       30.206
2019-327/00:00:00      74573568.469     118925393.439      51072841.610      -26.361       13.527        5.904     149375036.298       30.212
2019-328/00:00:00      72284574.332     120076033.625      51575329.424      -26.623       13.107        5.727     149342988.261       30.222
2019-329/00:00:00      69973636.063     121190021.315      52062364.990      -26.873       12.681        5.547     149311154.501       30.228
2019-330/00:00:00      67641040.206     122267202.362      52533880.785      -27.119       12.253        5.367     149279562.311       30.239
2019-331/00:00:00      65288050.292     123306943.617      52989595.409      -27.353       11.818        5.183     149248212.977       30.244
2019-332/00:00:00      62914642.352     124309238.553      53429507.404      -27.582       11.381        4.999     149217127.949       30.254
2019-333/00:00:00      60522247.575     125273448.155      53853330.222      -27.804       10.941        4.813     149186327.926       30.264
2019-334/00:00:00      58110889.257     126199527.296      54261044.908      -28.008       10.494        4.624     149155814.954       30.264
2019-335/00:00:00      55681880.080     127086947.582      54652413.162      -28.220       10.048        4.436     149125619.125       30.282
2019-336/00:00:00      53235412.467     127935606.986      55027389.092      -28.409        9.596        4.244     149095748.517       30.285
2019-337/00:00:00      50772676.966     128745064.526      55385773.070      -28.599        9.142        4.052     149066227.646       30.297
2019-338/00:00:00      48294041.535     129515173.422      55727497.797      -28.772        8.683        3.858     149037071.244       30.300
2019-339/00:00:00      45800456.568     130245600.406      56052411.265      -28.948        8.224        3.663     149008291.903       30.316
2019-340/00:00:00      43292521.191     130936152.228      56360424.449      -29.102        7.759        3.466     148979917.423       30.317
2019-341/00:00:00      40771076.876     131586554.851      56651411.014      -29.263        7.296        3.269     148951953.653       30.335
2019-342/00:00:00      38236925.441     132196588.295      56925269.752      -29.400        6.826        3.070     148924433.053       30.338
2019-343/00:00:00      35690537.064     132766091.171      57181922.469      -29.539        6.356        2.871     148897352.757       30.351
2019-344/00:00:00      33133129.917     133294779.591      57421240.354      -29.665        5.883        2.670     148870754.039       30.360
2019-345/00:00:00      30564929.142     133782566.223      57643175.318      -29.775        5.407        2.467     148844635.710       30.362
2019-346/00:00:00      27987292.128     134229170.686      57847600.527      -29.891        4.931        2.265     148819029.933       30.380
2019-347/00:00:00      25400372.737     134634543.816      58034481.870      -29.989        4.452        2.061     148793952.867       30.387
2019-348/00:00:00      22805571.807     134998425.929      58203701.935      -30.079        3.972        1.856     148769418.994       30.397
