    i       P                   T                   
  173       1.3188819E+02       1.3000000e+03       
  174       1.3748071E+02       1.3000000e+03       
  175       1.4331038E+02       1.3000000e+03       
  176       1.4938725E+02       1.3000000e+03       
  177       1.5572180E+02       1.3000000e+03       
  178       1.6232488E+02       1.3000000e+03       
  179       1.6920803E+02       1.3000000e+03       
  180       1.7638305E+02       1.3000000e+03       
  181       1.8386233E+02       1.3000000e+03       
  182       1.9165875E+02       1.3000000e+03       
  183       1.9978576E+02       1.3000000e+03       
  184       2.0825739E+02       1.3000000e+03       
  185       2.1708824E+02       1.3000000e+03       
  186       2.2629355E+02       1.3000000e+03       
  187       2.3588922E+02       1.3000000e+03       
  188       2.4589177E+02       1.3000000e+03       
  189       2.5631844E+02       1.3000000e+03       
  190       2.6718725E+02       1.3000000e+03       
  191       2.7851695E+02       1.3000000e+03       
  192       2.9032691E+02       1.3000000e+03       
  193       3.0263781E+02       1.3000000e+03       
  194       3.1547071E+02       1.3000000e+03       
  195       3.2884781E+02       1.3000000e+03       
  196       3.4279213E+02       1.3000000e+03       
  197       3.5732773E+02       1.3000000e+03       
  198       3.7247972E+02       1.3000000e+03       
  199       3.8827418E+02       1.3000000e+03       
  200       4.0473840E+02       1.3000000e+03       
  201       4.2190072E+02       1.3000000e+03       
  202       4.3979082E+02       1.3000000e+03       
  203       4.5843953E+02       1.3000000e+03       
  204       4.7787898E+02       1.3000000e+03       
  205       4.9814279E+02       1.3000000e+03       
  206       5.1926579E+02       1.3000000e+03       
  207       5.4128421E+02       1.3000000e+03       
  208       5.6423661E+02       1.3000000e+03       
  209       5.8816224E+02       1.3000000e+03       
  210       6.1310246E+02       1.3000000e+03       
  211       6.3910019E+02       1.3000000e+03       
  212       6.6620028E+02       1.3000000e+03       
  213       6.9444957E+02       1.3000000e+03       
  214       7.2389669E+02       1.3000000e+03       
  215       7.5459252E+02       1.3000000e+03       
  216       7.8658992E+02       1.3000000e+03       
  217       8.1994412E+02       1.3000000e+03       
  218       8.5471272E+02       1.3000000e+03       
  219       8.9095552E+02       1.3000000e+03       
  220       9.2873527E+02       1.3000000e+03       
  221       9.6811643E+02       1.3000000e+03       
  222       1.0091680E+03       1.3000000e+03       
  223       1.0519603E+03       1.3000000e+03       
  224       1.0965672E+03       1.3000000e+03       
  225       1.1430656E+03       1.3000000e+03       
  226       1.1915356E+03       1.3000000e+03       
  227       1.2420610E+03       1.3000000e+03       
  228       1.2947287E+03       1.3000000e+03       
  229       1.3496299E+03       1.3000000e+03       
  230       1.4068590E+03       1.3000000e+03       
  231       1.4665148E+03       1.3000000e+03       
  232       1.5287003E+03       1.3000000e+03       
  233       1.5935227E+03       1.3000000e+03       
  234       1.6610937E+03       1.3000000e+03       
  235       1.7315300E+03       1.3000000e+03       
  236       1.8049531E+03       1.3000000e+03       
  237       1.8814895E+03       1.3000000e+03       
  238       1.9612715E+03       1.3000000e+03       
  239       2.0444363E+03       1.3000000e+03       
  240       2.1311278E+03       1.3000000e+03       
  241       2.2214951E+03       1.3000000e+03       
  242       2.3156919E+03       1.3000000e+03       
  243       2.4138855E+03       1.3000000e+03       
  244       2.5162429E+03       1.3000000e+03       
  245       2.6229404E+03       1.3000000e+03       
  246       2.7341625E+03       1.3000000e+03       
  247       2.8501008E+03       1.3000000e+03       
  248       2.9709551E+03       1.3000000e+03       
  249       3.0969342E+03       1.3000000e+03       
  250       3.2282554E+03       1.3000000e+03       
  251       3.3651449E+03       1.3000000e+03       
  252       3.5078391E+03       1.3000000e+03       
  253       3.6565840E+03       1.3000000e+03       
  254       3.8116362E+03       1.3000000e+03       
  255       3.9732631E+03       1.3000000e+03       
  256       4.1417435E+03       1.3000000e+03       
  257       4.3173682E+03       1.3000000e+03       
  258       4.5004401E+03       1.3000000e+03       
  259       4.6912748E+03       1.3000000e+03       
  260       4.8902016E+03       1.3000000e+03       
  261       5.0975636E+03       1.3000000e+03       
  262       5.3137183E+03       1.3000000e+03       
  263       5.5390391E+03       1.3000000e+03       
  264       5.7739142E+03       1.3000000e+03       
  265       6.0187485E+03       1.3000000e+03       
  266       6.2739648E+03       1.3000000e+03       
  267       6.5400034E+03       1.3000000e+03       
  268       6.8173230E+03       1.3000000e+03       
  269       7.1064018E+03       1.3000000e+03       
  270       7.4077383E+03       1.3000000e+03       
  271       7.7218443E+03       1.3000000e+03       
  272       8.0492787E+03       1.3000000e+03       
  273       8.3905965E+03       1.3000000e+03       
  274       8.7463878E+03       1.3000000e+03       
  275       9.1172658E+03       1.3000000e+03       
  276       9.5038705E+03       1.3000000e+03       
  277       9.9068686E+03       1.3000000e+03       
  278       1.0326955E+04       1.3000000e+03       
  279       1.0764854E+04       1.3000000e+03       
  280       1.1221323E+04       1.3000000e+03       
  281       1.1697147E+04       1.3000000e+03       
  282       1.2193148E+04       1.3000000e+03       
  283       1.2710181E+04       1.3000000e+03       
  284       1.3249138E+04       1.3000000e+03       
  285       1.3810949E+04       1.3000000e+03       
  286       1.4396583E+04       1.3000000e+03       
  287       1.5007049E+04       1.3000000e+03       
  288       1.5643400E+04       1.3000000e+03       
  289       1.6306737E+04       1.3000000e+03       
  290       1.6998200E+04       1.3000000e+03       
  291       1.7718984E+04       1.3000000e+03       
  292       1.8470334E+04       1.3000000e+03       
  293       1.9253542E+04       1.3000000e+03       
  294       2.0069960E+04       1.3000000e+03       
  295       2.0920998E+04       1.3000000e+03       
  296       2.1808122E+04       1.3000000e+03       
  297       2.2732864E+04       1.3000000e+03       
  298       2.3696819E+04       1.3000000e+03       
  299       2.4701622E+04       1.3000000e+03       
  300       2.5749058E+04       1.3000000e+03       
  301       2.6840910E+04       1.3000000e+03       
  302       2.7979061E+04       1.3000000e+03       
  303       2.9165474E+04       1.3000000e+03       
  304       3.0402192E+04       1.3000000e+03       
  305       3.1691355E+04       1.3000000e+03       
  306       3.3035180E+04       1.3000000e+03       
  307       3.4435990E+04       1.3000000e+03       
  308       3.5896200E+04       1.3000000e+03       
  309       3.7418327E+04       1.3000000e+03       
  310       3.9004996E+04       1.3000000e+03       
  311       4.0658948E+04       1.3000000e+03       
  312       4.2383033E+04       1.3000000e+03       
  313       4.4180223E+04       1.3000000e+03       
  314       4.6053621E+04       1.3000000e+03       
  315       4.8006460E+04       1.3000000e+03       
  316       5.0042105E+04       1.3000000e+03       
  317       5.2164072E+04       1.3000000e+03       
  318       5.4376012E+04       1.3000000e+03       
  319       5.6681746E+04       1.3000000e+03       
  320       5.9085256E+04       1.3000000e+03       
  321       6.1590683E+04       1.3000000e+03       
  322       6.4202344E+04       1.3000000e+03       
  323       6.6924757E+04       1.3000000e+03       
  324       6.9762605E+04       1.3000000e+03       
  325       7.2720790E+04       1.3000000e+03       
  326       7.5804406E+04       1.3000000e+03       
  327       7.9018784E+04       1.3000000e+03       
  328       8.2369375E+04       1.3000000e+03       
  329       8.5862130E+04       1.3000000e+03       
  330       8.9502990E+04       1.3000000e+03       
  331       9.3298233E+04       1.3000000e+03       
  332       9.7254413E+04       1.3000000e+03       
  333       1.0137835E+05       1.3000000e+03       
